type_survey,date_elec,id_pollster,pollster,media,field_date_from,field_date_to,exit_poll,size,turnout,UCD,PSOE,PCE,AP,CIU,PA,EAJ-PNV,HB,ERC,EE,CDS,FN,PAD,PRD,MUC,IU,CG,PAR,AIC,UV,EA,PP,LV,ARM,PDP,CC,PAP,BNG,ICV,EH,UPYD,AMAIUR,CS,DIL-CDC,EH-BILDU,UP,PACMA,PODEMOS,COMPROMIS,VOX,JXCAT-JUNTS,NA-SUMA,PDECAT,CC-NC,PRC,MP,CUP,TE,EV
national,1982-10-28,pollster-1,PSOE,NA,1982-10-28,1982-10-28,TRUE,85300,NA,6.6,48,4.3,26,4,0.4,2,0.9,0.6,0.4,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-2,IDEAL,NA,1982-10-28,1982-10-28,TRUE,NA,75.7,7.2,45.7,3.8,25.5,4.5,NA,2.1,1,0.7,0.5,2.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-3,SOFEMASA,EL PAÍS,1982-10-16,1982-10-19,FALSE,18255,78.5,6.5,48.6,5.9,24,2.5,NA,1.7,1.1,0.8,0.7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-4,GRUPO 16,GRUPO 16,1982-10-09,1982-10-14,FALSE,7000,NA,9.5,49.2,7.8,18.2,0.7,0.2,2.2,0.9,0.2,0.7,5.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-3,SOFEMASA,EL PAÍS,1982-10-01,1982-10-07,FALSE,1163,NA,5,51,4.3,19.3,NA,NA,NA,NA,NA,NA,4.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-4,GRUPO 16,GRUPO 16,1982-09-25,1982-09-30,FALSE,3008,78.8,10.6,45.9,5.8,16.3,NA,NA,NA,NA,NA,NA,8.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-3,SOFEMASA,EL PAÍS,1982-09-24,1982-09-30,FALSE,2460,NA,4.8,51.5,5.2,14.8,NA,NA,NA,NA,NA,NA,2.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-5,AP,NA,1982-09-27,1982-09-27,FALSE,6000,NA,15,NA,11,27.4,14,1,7,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1982-09-06,1982-09-26,FALSE,NA,NA,10,44,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-4,GRUPO 16,GRUPO 16,1982-09-05,1982-09-19,FALSE,3000,NA,10.7,51.3,6,13,NA,NA,NA,NA,NA,NA,5.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
